id,property_subclass,property_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighbourhood,condition_1,condition_2,property_type,house_style,overall_quality,overall_condition,year_built,year_remodernisation_added,roof_style,roof_matl,exterior_material_1,exterior_material_2,masonry_veneer_type,masonry_veneer_area,external_material_quality,external_material_condition,foundation,basement_height_quality,basement_condition,basement_exposure,basement_finished_area_quality_type1,basement_type1_sqf,basement_finished_area_quality_type2,basement_type2_sqf,basement_unfinished_sqf,total_basement_area_sqft,heating,heating_quality,air_conditioning,electrical,First_floor_sqft,Second_floor_sqft,low_quality_finish_total_area_sqft,ground_living_space_sqft,basement_full_bathrooms,basement_half_bath,full_bathroom_above_grade,half_bathroom_above_grade,bedrooms_above_grade,kitchen_above_grade,kitchen_quality,total_rooms_above_grade,home_funcionality,fireplaces,fireplace_quality,garage_type,garage_year_built,garage_interior_finish,garage_cars_capacity,garage_sqft_area,garage_quality,garage_condition,paved_driveway,wood_deck_area_sqft,open_porch_area_sqft,enclosed_porch_area_sqft,Three_seasons_porch_area_sqft,screen_porch_area_sqft,fence,month_sold,year_sold,sale_type,sale_condition,sale_price,has_pool,age,sale_price_log
1,60,RL,65.0,8450,Pave,N/A,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,N/A,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,N/A,2,2008,WD,Normal,208500,0,5,12.247694320220994
2,20,RL,80.0,9600,Pave,N/A,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,N/A,5,2007,WD,Normal,181500,0,31,12.109010932687042
3,60,RL,68.0,11250,Pave,N/A,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,N/A,9,2008,WD,Normal,223500,0,7,12.31716669303576
4,70,RL,60.0,9550,Pave,N/A,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,N/A,2,2006,WD,Abnorml,140000,0,91,11.84939770159144
5,60,RL,84.0,14260,Pave,N/A,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,N/A,12,2008,WD,Normal,250000,0,8,12.429216196844383
6,50,RL,85.0,14115,Pave,N/A,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,N/A,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,MnPrv,10,2009,WD,Normal,142300,0,16,11.865692784077943
7,20,RL,75.0,10084,Pave,N/A,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,N/A,8,2007,WD,Normal,307000,0,3,12.634603026569334
8,60,RL,0.0,10382,Pave,N/A,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,N/A,11,2009,WD,Normal,199650,0,36,12.204321112491368
9,50,RM,51.0,6120,Pave,N/A,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,N/A,4,2008,WD,Abnorml,129900,0,77,11.77452020265869
10,190,RL,50.0,7420,Pave,N/A,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,N/A,1,2008,WD,Normal,118000,0,69,11.678439903447801
11,20,RL,70.0,11200,Pave,N/A,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,N/A,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,N/A,2,2008,WD,Normal,129500,0,43,11.771436160121729
